motion_max,motion_mean,motion_p95,motion_std,brake_intensity,lateral_max,z_dev_max,speed_mean,speed_at_brake,speed_drop,spikes_above3,spikes_above5,audio_db_max,audio_db_mean,audio_db_p90,audio_db_std,audio_class_max,audio_class_mean,sustained_max,sustained_sum,cadence_var_mean,cadence_var_max,argument_frac,loud_frac,audio_leads_motion,audio_onset_sec,brake_t_sec,is_low_speed,both_elevated,audio_only,situation_label,situation_name
2.2248482444099658,0.9701993756728352,1.7226593907509082,0.42517676046085084,1.5365259485669223,2.1476124744584237,0.8504263112552053,12.013774199036368,11.603185967625786,8.846714878846011,0,0,89.063517073245,78.801022603901,85.56833226166688,4.916844761858143,4,3.066666666666667,39.4253118377339,1182.7593551320172,0.08331648678971477,0.20273121921561638,0.0,0.8,-3.68087718963794,2.8981144128958816,9.857608712386192,1,0,1,6,MUSIC_OR_CALL
4.681693136111198,1.093487607209855,1.876179348647955,0.5882068990026137,4.669622808654354,2.1002648727329967,0.8102540506021896,24.645783186019468,30.22978058087733,32.32090178471307,7,0,71.73759100175135,60.35649073587949,67.78591861445466,6.421496860176093,3,1.2333333333333334,0.0,0.0,0.10972069954249877,0.25345290990284325,0.0,0.03333333333333333,-9.29756194092118,11.236284337150943,20.910145397771174,0,0,0,1,TRAFFIC_STOP
2.9604090494969224,0.9699442577134071,1.6723061233553944,0.4091104445559131,1.6597042051508637,2.928542821978762,1.3088539493695617,9.920981846132918,10.783636814886304,10.84364349474157,0,0,74.24975657398684,61.01069657192396,68.05495660908119,6.326609124820074,3,0.8666666666666667,0.0,0.0,0.12108468116094524,0.29911356103935166,0.0,0.03333333333333333,-6.073198446437386,2.117848786104692,9.296614320031427,1,0,0,2,SPEED_BREAKER
3.9207561636814576,1.0618896614764302,1.8492930284190188,0.4976474650376336,3.865132682249806,2.2031257659355994,0.9402791704645601,39.34806486009722,42.967644011958626,38.264324158863346,1,0,68.77931596599743,58.7174372705581,65.75960977207718,5.357569867393635,4,1.5,0.0,0.0,0.13619677512928616,0.31109477287091947,0.0,0.16666666666666666,-19.66390676202349,4.823185922782455,23.85740298582788,0,0,0,1,TRAFFIC_STOP
2.4604393262633764,1.0063600747488661,1.66757617848913,0.4085586161483035,1.6407715984806126,2.2741803778912897,1.011378988406511,43.49460542963899,41.99612380912487,11.641974135722712,0,0,91.25499983799354,79.11483518146957,85.67957381103604,6.215574860798222,4,3.1,44.768520960509676,1343.0556288152904,0.06909690926470773,0.16400370317317065,0.0,0.8333333333333334,-1.674272224690844,13.020295014266303,15.929373280468251,0,0,1,6,MUSIC_OR_CALL
3.729370426973794,1.069367209268022,1.8422966227152566,0.5577147821723649,3.637230650662724,2.5122404019481945,0.9035656289383507,49.35585511904853,47.789709057081026,11.047921354326625,6,0,97.02586384988057,72.55113788609108,93.71949849236634,14.458684925577343,5,3.1333333333333333,49.920844739870354,346.0864691931041,0.34580121839427824,0.921899540655172,0.26666666666666666,0.6666666666666666,-11.607045316997969,8.348883237091002,26.495835222662503,0,0,1,4,ESCALATING
2.3702665948397454,0.9773244145740134,1.6553353717354469,0.39641424843359513,1.6863575772644033,2.1736752682811895,0.9845545094134298,19.11030297692613,15.551795389004386,10.62535778806263,0,0,98.0,84.32608683346602,98.0,14.514994626505954,5,3.7,47.78474170350278,670.0854717627719,0.6689252900324087,1.1097746786381986,0.3333333333333333,0.8333333333333334,-8.205618436255186,4.97210526946453,12.924848335496794,1,0,1,5,ARGUMENT_ONLY
3.8505480358664848,1.0467605445078016,1.8284409928715035,0.518076767599311,3.749799121030577,2.0745621201147966,0.8130498859609254,24.779985863999077,30.12418647355037,31.889774950048675,4,0,75.07269434544455,61.11554745377351,69.40043972640746,6.47949539448887,2,0.8666666666666667,0.0,0.0,0.11397767239611582,0.2420486680997905,0.0,0.0,-14.571606217538328,-0.5632970012563523,18.437586733407226,0,0,0,1,TRAFFIC_STOP
2.1320577057022123,0.9431183613749454,1.6691775837966933,0.4160316512992658,1.463230042854563,1.9909074548972954,0.82252027210947,28.343824938224945,25.557021127831128,9.679936084667414,0,0,94.79841713540961,75.9337269410802,88.9918947230729,10.968775258000269,5,4.033333333333333,47.57021335394468,689.8961116878612,0.5832004137368906,1.0,0.43333333333333335,0.9,-4.502109381225578,0.7491177906669411,20.792999096694416,0,0,1,5,ARGUMENT_ONLY
2.5358229628197813,1.0230922378108063,1.7237778291420718,0.43462212239312825,2.0302542311757654,2.4435517191848217,3.3254045957915768,18.415456297913934,18.770997566654103,12.996652016070936,0,0,77.54952616471294,59.58298836826477,67.00426664371984,6.743128324165745,4,1.0666666666666667,0.0,0.0,0.12340275527513671,0.30741490591327136,0.0,0.06666666666666667,3.3194399782322805,18.99804180474368,15.568039073201557,1,0,0,2,SPEED_BREAKER
